model,acc,time,batch_size,max_memory_usage,mean_power_consumption
0,0.7157894736842105,31.12191128730774,1,2183.4765625,3.271873873873874
0,0.7157894736842105,15.027406454086304,4,2372.078125,3.3352727272727276
0,0.7157894736842105,16.313323974609375,8,2335.69140625,3.3499240506329113
0,0.7157894736842105,15.146603345870972,16,2349.3828125,3.3172987012987014
0,0.7157894736842105,21.038816213607788,32,2171.46875,3.233588888888889
1,0.7684210526315789,18.317055463790897,1,2366.9765625,3.757494117647058
1,0.7684210526315789,17.72436547279358,4,2369.77734375,3.633439024390244
1,0.7684210526315789,17.990173816680908,8,2378.68359375,3.4908
1,0.7684210526315789,18.26283860206604,16,2319.515625,3.4001176470588232
1,0.7684210526315789,21.44554305076599,32,2185.40625,3.2347019230769227
2,0.8,21.111372709274292,1,2425.94140625,4.088292134831461
2,0.8,18.69563913345337,4,2414.25,3.8529268292682928
2,0.8,16.656965732574463,8,2430.83203125,3.8719375
2,0.8,19.627275705337524,16,2359.55078125,3.6239886363636367
2,0.8,28.718586444854736,32,2147.1484375,3.572660550458715
3,0.7684210526315789,30.96539330482483,1,2288.41015625,4.2313828125
3,0.7684210526315789,24.65440368652344,4,2343.09375,4.1595576923076925
3,0.7684210526315789,23.486128330230713,8,2431.23046875,3.998858490566038
3,0.7684210526315789,22.403274536132812,16,2291.02734375,3.94630303030303
3,0.7684210526315789,36.17400646209717,32,2135.1875,3.70170802919708
4,0.8105263157894737,34.37319350242615,1,2385.71875,4.784515384615385
4,0.8105263157894737,31.27670693397522,4,2339.13671875,4.412809917355372
4,0.8105263157894737,29.48775887489319,8,2342.64453125,4.241976190476191
4,0.8105263157894737,26.447457790374756,16,2262.48046875,4.090543859649123
4,0.8105263157894737,39.362746477127075,32,2202.5859375,3.8061527777777777
5,0.7578947368421053,14.434774398803713,1,2527.1875,3.611222222222222
5,0.7578947368421053,7.144179582595825,4,2613.33984375,3.931693877551021
5,0.7578947368421053,7.033849239349365,8,2596.87890625,3.9595
5,0.7578947368421053,7.31721043586731,16,2565.33203125,3.8689148936170215
5,0.7578947368421053,10.823392152786257,32,2354.6875,3.675016666666667
6,0.7263157894736842,16.825647115707397,1,2639.0859375,3.275554054054054
6,0.7263157894736842,6.4401774406433105,4,2601.80078125,3.726581395348837
6,0.7263157894736842,5.6181135177612305,8,2618.51171875,3.631309523809524
6,0.7263157894736842,5.4679179191589355,16,2576.6796875,3.791809523809524
6,0.7263157894736842,5.0423805713653564,32,2575.59765625,3.640023255813954
7,0.7473684210526316,8.811270713806152,1,2652.65625,3.71834
7,0.7473684210526316,6.7208027839660645,4,2667.609375,3.775977272727273
7,0.7473684210526316,6.613893032073975,8,2599.296875,3.763088888888889
7,0.7473684210526316,6.119196891784668,16,2582.234375,3.740068181818182
7,0.7473684210526316,9.551788568496704,32,2418.5546875,3.3118333333333334
8,0.7578947368421053,22.550760984420776,1,2536.984375,4.377274725274725
8,0.7578947368421053,19.573049068450928,4,2456.0,4.340060975609757
8,0.7578947368421053,18.536887168884277,8,2441.97265625,4.182060975609756
8,0.7578947368421053,27.427948236465458,16,2240.90625,3.7896608695652176
8,0.7578947368421053,40.1049382686615,32,2214.28515625,3.720015625
9,0.7894736842105263,14.091449499130247,1,2621.97265625,3.743577464788733
9,0.7894736842105263,8.005033254623413,4,2551.7421875,4.06222
9,0.7894736842105263,7.364208221435547,8,2540.40234375,4.03463829787234
9,0.7894736842105263,7.052679061889648,16,2505.29296875,3.957173913043478
9,0.7894736842105263,9.059534788131714,32,2399.0546875,4.028888888888889
0,0.7157894736842105,12.385453224182127,1,2580.1484375,3.805196721311475
0,0.7157894736842105,8.058924198150635,4,2541.25390625,3.97594
0,0.7157894736842105,8.197511196136475,8,2604.6796875,3.884448979591837
0,0.7157894736842105,11.367965459823608,16,2646.796875,3.652818181818182
0,0.7157894736842105,9.25193214416504,32,2343.6171875,3.603561403508772
1,0.7684210526315789,16.422062397003174,1,2630.87109375,3.897128205128205
1,0.7684210526315789,10.23565149307251,4,2617.37109375,3.992559322033898
1,0.7684210526315789,10.580509662628174,8,2548.02734375,4.010963636363637
1,0.7684210526315789,11.204322576522827,16,2448.22265625,3.82341935483871
1,0.7684210526315789,17.11282515525818,32,2269.65625,3.516962962962963
