model,acc,time,batch_size,max_memory_usage,mean_power_consumption
10,0.8631578947368421,4.450951099395752,8,2948.734375,77.98938095238096
10,0.8631578947368421,4.413359880447388,16,2977.9140625,75.38413636363636
10,0.8631578947368421,4.415332078933716,32,2965.8515625,75.76157142857143
11,0.7578947368421053,1.7431957721710205,1,2916.40625,43.96192307692308
11,0.7578947368421053,1.1652255058288574,4,2924.4765625,36.4085
11,0.7578947368421053,1.1328861713409424,8,2960.93359375,35.11333333333334
11,0.7578947368421053,1.0792999267578125,16,2942.94921875,35.07118181818183
11,0.7578947368421053,1.002281665802002,32,2912.609375,36.46072727272728
12,0.7894736842105263,1.4439306259155271,1,2948.03515625,37.059000000000005
12,0.7894736842105263,1.0770504474639893,4,2915.58203125,32.30409090909091
12,0.7894736842105263,0.9998862743377686,8,2919.765625,32.01418181818182
12,0.7894736842105263,0.98803973197937,16,2931.734375,32.047700000000006
12,0.7894736842105263,0.9632537364959716,32,2947.80859375,33.8769
0,0.7157894736842105,0.9906833171844482,1,2911.80859375,32.82954545454545
0,0.7157894736842105,0.8788144588470459,4,2910.88671875,32.926
0,0.7157894736842105,0.868297815322876,8,2942.6640625,30.455400000000004
0,0.7157894736842105,0.8513507843017578,16,2914.453125,33.098699999999994
0,0.7157894736842105,0.8369748592376709,32,2912.0703125,31.453000000000003
1,0.7684210526315789,1.1439712047576904,1,2931.6015625,30.973
1,0.7684210526315789,0.9417307376861572,4,2923.8359375,33.693363636363635
1,0.7684210526315789,0.922687292098999,8,2900.54296875,32.10290909090909
1,0.7684210526315789,0.8990268707275391,16,2911.3515625,33.74909090909091
1,0.7684210526315789,0.8552834987640381,32,2903.02734375,33.161181818181824
2,0.8,1.321831226348877,1,2936.83984375,34.55758333333333
2,0.8,1.052745342254639,4,2913.84765625,33.23254545454545
2,0.8,1.0104601383209229,8,2916.75390625,34.127909090909085
2,0.8,0.9700939655303956,16,2927.17578125,35.17472727272727
2,0.8,0.9304678440093994,32,2938.89453125,34.75572727272727
3,0.7684210526315789,1.819418668746948,1,2935.42578125,38.12546153846154
3,0.7684210526315789,1.1725032329559326,4,2949.62890625,36.17525
3,0.7684210526315789,1.1217873096466064,8,2966.6953125,35.32208333333333
3,0.7684210526315789,1.0788774490356443,16,2955.78125,34.22858333333334
3,0.7684210526315789,1.0488762855529783,32,2896.50390625,35.689083333333336
4,0.8105263157894737,2.3233680725097656,1,2964.90234375,39.81593333333333
4,0.8105263157894737,1.3189730644226074,4,2963.95703125,37.14399999999999
4,0.8105263157894737,1.2363004684448242,8,2971.8125,37.11861538461539
4,0.8105263157894737,1.1960265636444092,16,2973.76953125,37.75307692307693
4,0.8105263157894737,1.1571736335754397,32,2965.00390625,33.43833333333333
5,0.7473684210526316,1.2474710941314695,1,2914.44921875,34.19409090909091
5,0.7473684210526316,0.9411540031433104,4,2921.8671875,30.6063
5,0.7473684210526316,0.894859790802002,8,2924.234375,32.94930000000001
5,0.7473684210526316,0.8744692802429199,16,2901.48046875,31.4037
5,0.7473684210526316,0.854015588760376,32,2938.10546875,32.395399999999995
6,0.7263157894736842,1.2495229244232178,1,2909.26953125,31.40145454545454
6,0.7263157894736842,0.9709815979003906,4,2939.3046875,30.824100000000005
6,0.7263157894736842,0.9140300750732422,8,2926.86328125,28.7556
6,0.7263157894736842,0.8834564685821533,16,2910.94140625,31.114300000000004
6,0.7263157894736842,0.8645079135894775,32,2909.234375,29.3185
7,0.7473684210526316,1.3451178073883057,1,2908.58203125,32.19327272727273
7,0.7473684210526316,0.9982104301452636,4,2935.9765625,31.1027
7,0.7473684210526316,0.9203004837036132,8,2923.20703125,29.917700000000004
7,0.7473684210526316,0.8973002433776855,16,2927.3359375,31.5155
7,0.7473684210526316,0.8799316883087158,32,2908.6953125,29.8431
8,0.7789473684210526,1.5036828517913818,1,2941.72265625,33.86475
8,0.7789473684210526,1.0380589962005615,4,2903.78515625,31.994
8,0.7789473684210526,0.9424376487731934,8,2915.23046875,31.968909090909087
8,0.7789473684210526,0.9327707290649414,16,2927.3359375,31.867636363636368
8,0.7789473684210526,0.8980879783630371,32,2913.26953125,32.632363636363635
9,0.8421052631578947,1.9541020393371584,1,2934.92578125,31.601615384615386
9,0.8421052631578947,1.2001824378967283,4,2927.9375,36.554
9,0.8421052631578947,1.156111240386963,8,2947.70703125,35.95975000000001
9,0.8421052631578947,1.110395431518555,16,2939.27734375,35.15258333333333
9,0.8421052631578947,1.0499029159545898,32,2960.671875,34.848
10,0.8631578947368421,4.726701021194458,1,2940.2578125,71.44131818181818
10,0.8631578947368421,4.574753999710083,4,2980.46484375,68.15169565217393
10,0.8631578947368421,4.464448928833008,8,3013.58203125,69.94985714285716
10,0.8631578947368421,4.40531063079834,16,2976.4453125,71.214
10,0.8631578947368421,4.432589769363403,32,2966.3671875,73.91790476190475
11,0.7578947368421053,1.7677576541900637,1,2954.6171875,41.126153846153855
11,0.7578947368421053,1.1570768356323242,4,2941.1484375,36.328916666666665
11,0.7578947368421053,1.1303315162658691,8,2938.48828125,35.12433333333333
11,0.7578947368421053,1.079826593399048,16,2971.69921875,34.308454545454545
11,0.7578947368421053,0.9977188110351562,32,2942.21484375,34.82163636363636
12,0.7894736842105263,1.4386765956878662,1,2916.59375,36.24641666666666
12,0.7894736842105263,1.0715630054473877,4,2933.0078125,32.44972727272727
12,0.7894736842105263,0.9956943988800048,8,2918.046875,35.285700000000006
12,0.7894736842105263,0.9833683967590332,16,2931.21875,30.6323
12,0.7894736842105263,0.953441858291626,32,2932.02734375,32.6373
0,0.7157894736842105,0.9941964149475098,1,2928.74609375,32.26354545454546
0,0.7157894736842105,0.8826315402984619,4,2909.79296875,31.5431
0,0.7157894736842105,0.865264892578125,8,2931.62109375,30.003500000000003
0,0.7157894736842105,0.8470914363861084,16,2911.91015625,31.9578
0,0.7157894736842105,0.845083475112915,32,2935.91015625,31.23845454545454
1,0.7684210526315789,1.150294303894043,1,2914.28125,32.14390909090909
1,0.7684210526315789,0.946908950805664,4,2900.33984375,33.54363636363637
1,0.7684210526315789,0.9235363006591796,8,2910.57421875,33.670363636363646
1,0.7684210526315789,0.8838746547698975,16,2905.46484375,31.59363636363636
1,0.7684210526315789,0.8510699272155762,32,2915.546875,31.225
2,0.8,1.3102662563323977,1,2902.72265625,34.674583333333324
2,0.8,1.052443504333496,4,2941.58203125,31.055636363636367
2,0.8,1.0109491348266602,8,2941.2109375,34.74072727272727
2,0.8,0.9641234874725342,16,2922.15625,33.26545454545454
2,0.8,0.9349381923675536,32,2953.88671875,33.02472727272728
3,0.7684210526315789,1.827290773391724,1,2945.421875,37.678857142857154
3,0.7684210526315789,1.1742868423461914,4,2947.23828125,32.865833333333335
3,0.7684210526315789,1.1239590644836426,8,2958.98046875,34.6345
3,0.7684210526315789,1.0914983749389648,16,2958.6796875,34.75608333333333
3,0.7684210526315789,1.0500102043151855,32,2934.57421875,35.217333333333336
4,0.8105263157894737,2.315251111984253,1,2969.3125,38.72813333333334
4,0.8105263157894737,1.3159544467926023,4,2964.25390625,36.713307692307694
4,0.8105263157894737,1.2281951904296875,8,2952.2734375,37.18238461538461
4,0.8105263157894737,1.1977252960205078,16,2965.76171875,37.42292307692309
4,0.8105263157894737,1.1579747200012207,32,2952.390625,34.17658333333333
5,0.7473684210526316,1.2658400535583496,1,2927.62890625,34.62990909090909
5,0.7473684210526316,0.9446451663970948,4,2910.3671875,30.2622
5,0.7473684210526316,0.888460636138916,8,2906.375,32.6426
5,0.7473684210526316,0.8703618049621582,16,2892.8828125,31.044200000000007
5,0.7473684210526316,0.8542611598968506,32,2915.8125,32.5133
6,0.7263157894736842,1.2626128196716309,1,2923.9296875,31.72081818181817
6,0.7263157894736842,0.9756736755371094,4,2934.66796875,30.6353
6,0.7263157894736842,0.9172837734222412,8,2907.75,32.54
6,0.7263157894736842,0.8872630596160889,16,2912.01171875,30.9515
6,0.7263157894736842,0.8668801784515381,32,2925.54296875,32.592499999999994
7,0.7473684210526316,1.3584480285644531,1,2908.53515625,32.254636363636365
7,0.7473684210526316,1.0070576667785645,4,2920.5546875,31.7725
7,0.7473684210526316,0.9361572265625,8,2902.55078125,29.82460000000001
7,0.7473684210526316,0.9012086391448976,16,2914.00390625,31.9208
7,0.7473684210526316,0.8905117511749268,32,2927.7890625,30.1325
